Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1325317920,4.39,4.39,4.39,4.39,0.45558087,2.000000019,4.39
1325346600,4.39,4.39,4.39,4.39,48,210.72,4.39
1325350740,4.5,4.57,4.5,4.57,37.86229723,171.3803375,4.526411498
1325350800,4.58,4.58,4.58,4.58,9,41.22,4.58
1325391360,4.58,4.58,4.58,4.58,1.502,6.87916,4.58
1325431680,4.84,4.84,4.84,4.84,10,48.4,4.84
1325457900,5,5,5,5,10.1,50.5,5
1325534640,5,5,5,5,19.048,95.24,5
1325591100,5.32,5.32,5.32,5.32,2.41917293,12.86999999,5.32
1325600520,5.14,5.14,5.14,5.14,0.68,3.4952,5.14
1325602440,5.26,5.26,5.26,5.26,29.31939163,154.22,5.26
1325604720,5.29,5.29,5.29,5.29,29.30245747,155.01,5.29
1325610600,5.29,5.29,5.29,5.29,11.28544423,59.69999998,5.29
1325610840,5.14,5.14,5.14,5.14,0.02,0.1028,5.14
1325611560,5.29,5.29,5.29,5.29,11,58.19,5.29
1325611620,5.29,5.29,5.29,5.29,4.01081466,21.21720955,5.29
1325650620,4.93,4.93,4.93,4.93,2.32,11.4376,4.93
1325653500,4.93,4.93,4.93,4.93,9.68,47.7224,4.93
1325680860,5.19,5.19,5.19,5.19,2.6416185,13.71000002,5.19
1325681820,5.19,5.19,5.19,5.19,8.72447013,45.27999998,5.19
1325691540,5.19,5.19,5.19,5.19,16.34472603,84.8291281,5.19
1325692380,5.32,5.32,5.32,5.32,0.18609023,0.990000024,5.32
1325692440,5.32,5.32,5.32,5.32,10.39473684,55.29999999,5.32
1325692800,5.36,5.37,5.36,5.37,13.62942272,73.06000001,5.360461812
1325699460,5.37,5.57,5.37,5.57,43.31219578,235.7470694,5.442972011
1325727600,5.72,5.72,5.72,5.72,5,28.6,5.72
1325735520,5.75,5.75,5.75,5.75,5.2,29.9,5.75
1325747940,5.75,5.79,5.75,5.79,14.8,85.5,5.777027027
1325753880,6,6,6,6,2.23666667,13.42000002,6
1325754180,6,6,6,6,0.1684827,1.0108962,6
1325756880,6.15,6.15,6.15,6.15,10,61.5,6.15
1325758080,6.19,6.19,6.19,6.19,0.57189015,3.540000029,6.19
